instrument,set,k,lane_sharpe,bench_sharpe,n_trades,tstat,min_tstat_K4,min_tstat_K60,fixed_sharpe,searched_sharpe,selection_gap,mean_pos_corr,gate,reason_class,verdict
MSFT,set5,3,0.17090236713370424,0.9142669643667102,291,-2.8785744470025505,2.2414027276049464,3.143980287069073,0.2130010051020476,0.9365743000298457,0.723573294927798,-0.03300054918790193,FAIL,FAIL_UNDERPERFORM,KILL-SIG
NVDA,set3,2,0.7951211829768133,1.0699244352672317,131,-1.063500809995206,2.2414027276049464,3.143980287069073,0.9152248585264289,1.1006493198033225,0.1854244612768936,-0.16338582976913038,FAIL,FAIL_UNDERPERFORM,KILL
NVDA,set3,3,-0.2432132117394598,1.0699244352672317,28,-5.084789091084496,2.2414027276049464,3.143980287069073,-0.17559038415546616,1.1006493198033225,1.2762397039587887,-0.16338582976913038,FAIL,FAIL_NONPOSITIVE,KILL-SIG
NVDA,set5,2,0.9259307659582405,1.0699244352672317,141,-0.5571376420332846,2.2414027276049464,3.143980287069073,1.0657572036638983,1.1006493198033225,0.03489211613942422,-0.06774910223981999,FAIL,FAIL_UNDERPERFORM,KILL
NVDA,set5,3,0.9684766260245469,1.0699244352672317,254,-0.3924886585204172,2.2414027276049464,3.143980287069073,1.1006493198033225,1.1006493198033225,0.0,-0.06774910223981999,FAIL,FAIL_UNDERPERFORM,KILL
QQQ,set3,2,0.670993682616487,0.9431749535660251,142,-1.0535436120650317,2.2414027276049464,3.143980287069073,0.6193311501026232,0.7847719301604311,0.16544078005780793,-0.10351671344138837,FAIL,FAIL_UNDERPERFORM,KILL
QQQ,set3,3,0.40565378256064577,0.9431749535660251,54,-2.0811954282145178,2.2414027276049464,3.143980287069073,0.5632131088422346,0.7847719301604311,0.22155882131819649,-0.10351671344138837,FAIL,FAIL_UNDERPERFORM,KILL
QQQ,set5,2,0.9258859380423489,0.9431749535660251,158,-0.0668943445922399,2.2414027276049464,3.143980287069073,0.7847719301604311,0.7847719301604311,0.0,-0.0012874996695392382,FAIL,FAIL_UNDERPERFORM,KILL
QQQ,set5,3,0.7957356855255114,0.9431749535660251,228,-0.5705959729349043,2.2414027276049464,3.143980287069073,0.6815837953037687,0.7847719301604311,0.10318813485666245,-0.0012874996695392382,FAIL,FAIL_UNDERPERFORM,KILL
SLV,set3,2,-0.08727443897856917,0.25283259990457096,140,-1.3170446973223087,2.2414027276049464,3.143980287069073,-0.37189430549709407,0.21531241769914797,0.587206723196242,-0.10953380136844988,FAIL,FAIL_NONPOSITIVE,KILL
SLV,set3,3,-0.04403550356463497,0.25283259990457096,40,-1.1496109138044528,2.2414027276049464,3.143980287069073,-0.21515483536705296,0.21531241769914797,0.43046725306620093,-0.10953380136844988,FAIL,FAIL_NONPOSITIVE,KILL
SLV,set5,2,0.2366370205433506,0.25283259990457096,113,-0.06271342781317801,2.2414027276049464,3.143980287069073,0.21531241769914797,0.21531241769914797,0.0,-0.014589277030360438,PASS,PASS,KILL
SLV,set5,3,-0.17834585167711178,0.25283259990457096,278,-1.6696733697674877,2.2414027276049464,3.143980287069073,-0.28717851514926984,0.21531241769914797,0.5024909328484178,-0.014589277030360438,FAIL,FAIL_NONPOSITIVE,KILL
SPY,set3,2,0.7603009816688767,0.8673964015186144,128,-0.414486281727767,2.2414027276049464,3.143980287069073,0.680758517798877,0.680758517798877,0.0,-0.08903424680420378,FAIL,FAIL_UNDERPERFORM,KILL
SPY,set3,3,0.5448519148644657,0.8673964015186144,44,-1.2486764844358473,2.2414027276049464,3.143980287069073,0.5584265936972792,0.680758517798877,0.12233192410159777,-0.08903424680420378,FAIL,FAIL_UNDERPERFORM,KILL
SPY,set5,2,0.5901764497128265,0.8673964015186144,188,-1.0731554693049132,2.2414027276049464,3.143980287069073,0.5108671098457858,0.680758517798877,0.1698914079530912,0.04219876258015588,FAIL,FAIL_UNDERPERFORM,KILL
SPY,set5,3,0.6921258763085631,0.8673964015186144,220,-0.6784077008792969,2.2414027276049464,3.143980287069073,0.6271662608226724,0.680758517798877,0.05359225697620462,0.04219876258015588,FAIL,FAIL_UNDERPERFORM,KILL
TLT,set3,2,0.31685708508999016,0.24266820696049476,116,0.2872656693433283,2.2414027276049464,3.143980287069073,0.32842653155538787,0.5016924822750319,0.17326595071964407,-0.07264623519672336,PASS,PASS,KEEP
TLT,set3,3,0.027691074313800135,0.24266820696049476,36,-0.8324920813337414,2.2414027276049464,3.143980287069073,0.10639536371178858,0.5016924822750319,0.39529711856324334,-0.07264623519672336,FAIL,FAIL_UNDERPERFORM,KILL
