instrument,set,k,lane_sharpe,bench_sharpe,n_trades,bench_trades,exit_events,flat_bars,flat_fraction,tstat,min_tstat_K4,min_tstat_K60,fixed_sharpe,searched_sharpe,selection_gap,mean_exit_corr,gate,reason_class,degenerate,verdict
GOOGL,set5,3,0.18189761194299334,0.7546852072703625,239,1,120,1707,0.4517068007409368,-2.2180305557062234,2.2414027276049464,3.143980287069073,-0.12584911548829103,0.5162298709021569,0.6420789863904479,0.0015042051531730023,FAIL,FAIL_NONPOSITIVE,False,KILL
JPM,set3,2,0.2159302700420604,0.6577971467582041,142,1,72,1832,0.4847843344800212,-1.7110375280210368,2.2414027276049464,3.143980287069073,0.12599970157398008,0.5425705281531946,0.4165708265792145,-0.14011287947197773,FAIL,FAIL_UNDERPERFORM,False,KILL
JPM,set3,3,0.6539429010395502,0.6577971467582041,23,1,12,215,0.056893358031225194,-0.014919126764435566,2.2414027276049464,3.143980287069073,0.5425705281531946,0.5425705281531946,0.0,-0.14011287947197773,FAIL,FAIL_UNDERPERFORM,False,KILL
JPM,set5,2,-0.08910579730958156,0.6577971467582041,122,1,62,3221,0.8523418893887271,-2.892337218024804,2.2414027276049464,3.143980287069073,-0.26974698317131607,0.5425705281531946,0.8123175113245107,-0.021062969685596393,FAIL,FAIL_NONPOSITIVE,False,KILL-SIG
JPM,set5,3,0.22974051423911002,0.6577971467582041,218,1,110,1777,0.47023021963482403,-1.6575501112744822,2.2414027276049464,3.143980287069073,0.10230748684393441,0.5425705281531946,0.4402630413092602,-0.021062969685596393,FAIL,FAIL_UNDERPERFORM,False,KILL
META,set3,2,0.5607519025281579,0.7565094998122481,122,1,62,1430,0.449685534591195,-0.6951787380550326,2.2414027276049464,3.143980287069073,0.7480611982576351,0.7480611982576351,0.0,-0.19126817266646404,PASS,PASS,False,KILL
META,set3,3,0.7430634068484698,0.7565094998122481,25,1,13,189,0.059433962264150944,-0.04773881557530174,2.2414027276049464,3.143980287069073,0.6752618742000056,0.7480611982576351,0.07279932405762946,-0.19126817266646404,PASS,PASS,False,KILL
META,set5,2,0.7313713906387731,0.7565094998122481,88,1,45,2767,0.870125786163522,-0.08925150695346286,2.2414027276049464,3.143980287069073,0.5949421738435609,0.7480611982576351,0.1531190244140742,-0.06800072796139779,FAIL,FAIL_UNDERPERFORM,False,KILL
META,set5,3,0.4611855389475221,0.7565094998122481,230,1,116,1278,0.4018867924528302,-1.0488668404082746,2.2414027276049464,3.143980287069073,0.4790167260599878,0.7480611982576351,0.26904447219764727,-0.06800072796139779,FAIL,FAIL_UNDERPERFORM,False,KILL
MSFT,set3,2,0.46749780603449925,0.9142669643667102,134,1,68,1783,0.4718179412543001,-1.7297256172762117,2.2414027276049464,3.143980287069073,0.5912850151884725,0.9842482170944411,0.39296320190596856,-0.14086976300233445,FAIL,FAIL_UNDERPERFORM,False,KILL
MSFT,set3,3,0.8184951652969062,0.9142669643667102,47,1,24,285,0.07541677692511246,-0.3706272722235505,2.2414027276049464,3.143980287069073,0.9842482170944411,0.9842482170944411,0.0,-0.14086976300233445,FAIL,FAIL_UNDERPERFORM,False,KILL
MSFT,set5,2,0.05072447597178449,0.9142669643667102,110,1,56,3377,0.8936226514951046,-3.3440347189364434,2.2414027276049464,3.143980287069073,0.1944644171054251,0.9842482170944411,0.789783799989016,-0.03300054918790183,FAIL,FAIL_UNDERPERFORM,False,KILL-SIG
MSFT,set5,3,0.17090236713370424,0.9142669643667102,291,1,146,1793,0.47446414395342684,-2.8785744470025505,2.2414027276049464,3.143980287069073,0.2130010051020476,0.9842482170944411,0.7712472119923934,-0.03300054918790183,FAIL,FAIL_UNDERPERFORM,False,KILL-SIG
NVDA,set3,2,0.7951211829768133,1.0699244352672317,131,1,66,1896,0.5017200317544324,-1.063500809995206,2.2414027276049464,3.143980287069073,0.9152248585264289,1.1006493198033225,0.1854244612768936,-0.16338582976913016,FAIL,FAIL_UNDERPERFORM,False,KILL
NVDA,set3,3,0.9182124285751389,1.0699244352672317,47,1,24,321,0.08494310664196877,-0.5870095652794922,2.2414027276049464,3.143980287069073,1.0998406241569163,1.1006493198033225,0.0008086956464061767,-0.16338582976913016,FAIL,FAIL_UNDERPERFORM,False,KILL
NVDA,set5,2,0.017710197545182542,1.0699244352672317,94,1,48,3293,0.8713945488224398,-4.074667867096679,2.2414027276049464,3.143980287069073,0.11474867674605978,1.1006493198033225,0.9859006430572627,-0.06774910223981967,FAIL,FAIL_UNDERPERFORM,False,KILL-SIG
NVDA,set5,3,0.9684766260245469,1.0699244352672317,254,1,128,1538,0.4069859751256946,-0.3924886585204172,2.2414027276049464,3.143980287069073,1.1006493198033225,1.1006493198033225,0.0,-0.06774910223981967,FAIL,FAIL_UNDERPERFORM,False,KILL
QQQ,set3,2,0.670993682616487,0.9431749535660251,142,1,72,1589,0.4204816088912411,-1.0535436120650317,2.2414027276049464,3.143980287069073,0.6193311501026232,0.7723171573861912,0.15298600728356804,-0.10351671344138846,FAIL,FAIL_UNDERPERFORM,False,KILL
QQQ,set3,3,0.8633416830991179,0.9431749535660251,33,1,17,175,0.04630854723471818,-0.3089236785956372,2.2414027276049464,3.143980287069073,0.7723171573861912,0.7723171573861912,0.0,-0.10351671344138846,FAIL,FAIL_UNDERPERFORM,False,KILL
QQQ,set5,2,0.23573252187718668,0.9431749535660251,84,1,43,3261,0.8629267001852342,-2.7393992944260783,2.2414027276049464,3.143980287069073,0.42505415036714883,0.7723171573861912,0.3472630070190424,-0.001287499669539438,FAIL,FAIL_UNDERPERFORM,False,KILL-SIG
